site_name;count;start_datetime;end_datetime;longitude;latitude
Lyon 1_Pont la Feuillée OE corrigé;58;2023-04-04 07:00:00+02:00;2023-04-04 08:00:00+02:00;4.83;45.76675404
Lyon 1_Pont la Feuillée OE corrigé;10;2023-04-04 06:00:00+02:00;2023-04-04 07:00:00+02:00;4.83;45.76675404
Lyon 1_Pont la Feuillée OE corrigé;5;2023-04-04 05:00:00+02:00;2023-04-04 06:00:00+02:00;4.83;45.76675404
Lyon 1_Pont la Feuillée OE corrigé;1;2023-04-04 04:00:00+02:00;2023-04-04 05:00:00+02:00;4.83;45.76675404
Lyon 1_Pont la Feuillée OE corrigé;2;2023-04-04 03:00:00+02:00;2023-04-04 04:00:00+02:00;4.83;45.76675404
Lyon 1_Pont la Feuillée OE corrigé;5;2023-04-04 01:00:00+02:00;2023-04-04 02:00:00+02:00;4.83;45.76675404
Lyon 1_Pont la Feuillée OE corrigé;7;2023-04-04 00:00:00+02:00;2023-04-04 01:00:00+02:00;4.83;45.76675404
Lyon 1_Pont la Feuillée OE corrigé;25;2023-04-03 23:00:00+02:00;2023-04-04 00:00:00+02:00;4.83;45.76675404
Lyon 1_Pont la Feuillée OE corrigé;36;2023-04-03 22:00:00+02:00;2023-04-03 23:00:00+02:00;4.83;45.76675404
Lyon 1_Pont la Feuillée OE corrigé;44;2023-04-03 21:00:00+02:00;2023-04-03 22:00:00+02:00;4.83;45.76675404
Lyon 1_Pont la Feuillée OE corrigé;70;2023-04-03 20:00:00+02:00;2023-04-03 21:00:00+02:00;4.83;45.76675404
Lyon 1_Pont la Feuillée OE corrigé;76;2023-04-03 19:00:00+02:00;2023-04-03 20:00:00+02:00;4.83;45.76675404
Lyon 1_Pont la Feuillée OE corrigé;136;2023-04-03 18:00:00+02:00;2023-04-03 19:00:00+02:00;4.83;45.76675404
Lyon 1_Pont la Feuillée OE corrigé;122;2023-04-03 17:00:00+02:00;2023-04-03 18:00:00+02:00;4.83;45.76675404
Lyon 1_Pont la Feuillée OE corrigé;59;2023-04-03 16:00:00+02:00;2023-04-03 17:00:00+02:00;4.83;45.76675404
Lyon 1_Pont la Feuillée OE corrigé;46;2023-04-03 15:00:00+02:00;2023-04-03 16:00:00+02:00;4.83;45.76675404
Lyon 1_Pont la Feuillée OE corrigé;52;2023-04-03 14:00:00+02:00;2023-04-03 15:00:00+02:00;4.83;45.76675404
