adresse,commune,lat_t,lon_t
"Du 67 Grande Rue et avenue de Taffignon jusqu'au Chemin des Rases (Francheville, Sainte-Foy-lès-Lyon)",Francheville,,
Quai Saint Vincent (Lyon 1er Arrondissement),Lyon 1er,,
22 Rue Commandant Charcot (Lyon 5e Arrondissement),Lyon 5ème,,
"Rue de la Combe, Rue de la Cornières et Rue des Hautannes (Saint-Germain-au-Mont-d'Or)",Saint Germain Au Mont d'Or,,
Rue du Maconnais (Saint-Priest),Saint Priest,,
"Rue de Cronstadt, Rue de Toulon, Rue Faidherbe, Rue du Repos et Rue Général de Miribel ( Lyon 7ème Arrondissement)",Lyon 7ème,,
"De l'angle de la Route du Mont Cindre / Chemin des Greffines, jusqu'au droit du 56 Route du Mont Cindre (Saint-Cyr-au-Mont-d'Or)",Saint Cyr Au Mont d'Or,,
Du 89 Avenue Paul Santy à la rue Stéphane Coignet et du 24 Rue Stéphane Coignet à l'avenue Paul Santy (Lyon 8ème Arrondissement),Lyon 8ème,,
35 Route de Genève / jusqu'au 2 Chemin des Iles (Rillieux-la-Pape),Rillieux la Pape,,
34 Avenue Anatole France (Givors),Givors,,
Face au 36 Rue Saint Lazare (Lyon 7e Arrondissement),Lyon 7ème,,
Entre le 2 et 12 Rue Joseph Serlin (Lyon 1er Arrondissement),Lyon 1er,,
entre le 3 et 5 Avenue de Gadagne (Saint-Genis-Laval),Saint Genis Laval,,
Giratoire Porte de Croix Luizet et bretelle 8 de sortie (Villeurbanne),Villeurbanne,,
Du 20 Boulevard Ambroise Croizat sur 130m au Nord (Vénissieux),Venissieux,,
Rue de la Moselle (Lyon 8e Arrondissement),Lyon 8ème,,
5 Rue Bissardon (Caluire-et-Cuire),Caluire et Cuire,,
153 Route de Paris (Charbonnières-les-Bains),Charbonnieres les Bains,,
Place Xavier Ricard Ste Foy Les Lyon,Sainte Foy les Lyon,,
"Rue Roquette (Lyon 9e Arrondissement), Place Valmy",Lyon 9ème,,
Face  au 225 Route de Genas (Villeurbanne),Bron,,
RD517A entre le pont de La Soie et le giratoire Marcellin,Vaulx en Velin,,
"Périmètre : Entre l'Avenue Rosa Parks / Rue Maurice Béjart / Avenue d'Ecully / Avenue David Ben Gourion (Champagne-au-Mont-d'Or, Lyon 9e Arrondissement)",Lyon 9ème,,
Rue de Surville (angle Rue Saint Jean de Dieu) (Lyon 7e Arrondissement),Lyon 7ème,,
50 Cours Richard Vitton (Lyon 3ème Arrondissement),Lyon 3ème,,
Rue des Martyrs de la Résistance (Vénissieux),Venissieux,,
Rue de la Feyssine (Villeurbanne),Villeurbanne,,
Au niveau du 1 Rue de Turin (Lyon 7ème Arrondissement) ,Lyon 7ème,,
"Du 13 Rue du Canal (Villeurbanne), , au 92 Rue de Verdun (Villeurbanne)",Villeurbanne,,
82 Rue Saint Georges (Lyon 5ème Arrondissement),Lyon 5ème,,
4 Rue Lortet (Oullins),Oullins,,
" - Quai Arloing, Quai Jayr, Quai du Commerce, Quai Paul Sédallian (du Pont Général Koenig au Pont de l'Ile Barbe) (Lyon 9e Arrondissement)",Lyon 9ème,,
Rue Bonnefoi (Lyon 3e Arrondissement),Lyon 3ème,,
