numero;intervenant;nature_chantier;nature_travaux;etat;date_debut;date_fin;mesures_police;last_update;adresse;commune;code_insee;contact_tel;contact_mail;contact_url;gid
202513189;ORANGE SA;Branchements réseau < 25 ml TELECOM, RMT ET VIDEO;Intervention sur des chambres, boites, armoires impactant le domaine public (télécom ou video);Validé;2025-12-10;2026-01-09;;2025-12-16 15:02:03.351045+01:00;"3 endroits ; 1 ère endroit : Face au 111 Rue Francis de Pressensé (Villeurbanne), 2 ème endroit : Rue Mauvert (Villeurbanne) Angle Rue Francis de Pressensé (Villeurbanne), 3 ème endroit : Face au 85 Rue Francis de Pressensé (Villeurbanne)";Villeurbanne;69266;;;;200219
202513194;ENEDIS;Branchements réseau électrique < 25 ml;Construction de branchement électrique < 25 ml;Validé;2026-01-08;2026-01-16;;2025-12-16 15:02:03.057592+01:00;156 Avenue Lacassagne (Lyon 3e Arrondissement);Lyon 3ème;69383;;;www.enedis.fr/aide_contact;200122
202513202;ORANGE SA;Construction, renouvellement et réparation réseau TELECOM, RMT ET VIDEO;Réparation de réseau (télécom ou video);Validé;2025-12-16;2026-01-16;;2025-12-16 15:02:03.787865+01:00;Face au 13 Rue Combabillon (Décines-Charpieu) à proximité Rue Marie Marvingt (Décines-Charpieu);Decines Charpieu;69275;;;;200330
202513211;EAU DU GRAND LYON - LA REGIE TRAVAUX PROGRAMMABLES;Construction, renouvellement et réparation réseau eau potable;Construction de canalisation eau potable et branchement;Validé;2026-01-08;2026-01-09;;2025-12-16 15:02:03.987127+01:00;Au niveau du 25bis Quai Clemenceau (Caluire-et-Cuire) à plus ou moins 10 mètres;Caluire et Cuire;69034;09 69 39 69 99;;;200331
202513213;EAU DU GRAND LYON - LA REGIE TRAVAUX PROGRAMMABLES;Construction, renouvellement et réparation réseau eau potable;Construction de canalisation eau potable et branchement;Validé;2026-01-12;2026-01-12;;2025-12-16 15:02:04.016516+01:00;Au niveau du 4 Montée des Forts (Caluire-et-Cuire) à plus ou moins 10 m;Caluire et Cuire;69034;09 69 39 69 99;;;200462
202513223;ORANGE SA;Branchements réseau < 25 ml TELECOM, RMT ET VIDEO;Réparation de branchement < 25 ml (télécom ou video);Validé;2025-12-15;2026-01-14;Circulation alternée, Circulation réduite, Restriction de jour, Restriction de nuit, Stationnement interdit, Trottoir interdit;2025-12-16 15:02:03.141037+01:00;à côté 32 Boulevard Louis Pradel (Jonage) proximité Rue du Lavoir (Jonage);Jonage;69279;;;;200463
202513226;EAU DU GRAND LYON - LA REGIE TRAVAUX PROGRAMMABLES;Branchements eau potable < à 25 ml;Construction branchement eau potable < 25 ml;Validé;2026-01-01;2026-01-30;;2025-12-16 15:02:03.520372+01:00;15 Avenue Guy de Collongue (Écully);Ecully;69081;09 69 39 69 99;;;200333
202513235;VAULX-EN-VELIN-Intervenant;Équipements TELECOM, RMT ET VIDEO;Travaux / équipement de télécom ou video;Validé;2025-12-10;2025-12-31;;2025-12-16 15:02:03.498617+01:00;Rue Stalingrad (Vaulx-en-Velin);Vaulx en Velin;69256;;;;200465
202513245;ORANGE SA;Construction, renouvellement et réparation réseau TELECOM, RMT ET VIDEO;Construction de réseau et branchement (télécom ou video);Validé;2025-12-22;2026-01-23;;2025-12-16 15:02:03.617035+01:00;Du 93 au 95 Route de Strasbourg (Caluire-et-Cuire);Caluire et Cuire;69034;;;;200721
202513273;EAU DU GRAND LYON - LA REGIE TRAVAUX PROGRAMMABLES;Branchements eau potable < à 25 ml;Construction branchement eau potable < 25 ml;Validé;2026-01-14;2026-01-15;;2025-12-16 15:02:03.151406+01:00;au 82 Rue des Jardins (Villeurbanne);Villeurbanne;69266;09 69 39 69 99;;;200472
202513277;EAU DU GRAND LYON - LA REGIE ENTRETIEN;Émergences et autres équipements eau potable;Remise à niveau d'appareils hydrauliques (Hydrant, bouches à clef);Validé;2025-12-15;2026-01-09;;2025-12-16 15:02:03.809356+01:00;79 Avenue Barthélémy Buyer (Lyon 5ème Arrondissement);Lyon 5ème;69385;09 69 39 69 99;;;200536
202513279;ENEDIS;Branchements réseau électrique < 25 ml;Construction de branchement électrique < 25 ml;Validé;2026-01-13;2026-01-23;;2025-12-16 15:02:03.301212+01:00;13 Rue de Bonald (Lyon 7e Arrondissement);Lyon 7ème;69387;;;www.enedis.fr/aide_contact;200473
202513322;EAU DU GRAND LYON - LA REGIE ENTRETIEN;Branchements eau potable < à 25 ml;Réparation branchement eau potable  < 25 ml;Validé;2025-12-15;2025-12-19;;2025-12-16 15:02:03.249217+01:00;19 Rue Burdeau (Lyon 1er Arrondissement);Lyon 1er;69381;09 69 39 69 99;;;200375
202513324;EAU DU GRAND LYON - LA REGIE ENTRETIEN;Branchements eau potable < à 25 ml;Réparation branchement eau potable  < 25 ml;Validé;2025-12-15;2025-12-24;;2025-12-16 15:02:03.983814+01:00;2 Rue de la Monnaie (Lyon 2ème Arrondissement);Lyon 2ème;69382;09 69 39 69 99;;;200655
202513339;ENEDIS;Branchements réseau électrique < 25 ml;Construction de branchement électrique < 25 ml;Validé;2026-01-06;2026-01-15;;2025-12-16 15:02:03.736185+01:00;22 Rue Saint Maximin (Lyon 3e Arrondissement);Lyon 3ème;69383;;;www.enedis.fr/aide_contact;200657
202513349;ORANGE SA;Construction, renouvellement et réparation réseau TELECOM, RMT ET VIDEO;Construction de réseau et branchement (télécom ou video);Validé;2026-01-05;2026-01-30;;2025-12-16 15:02:03.610879+01:00;Du 3 Rue Rabelais (Saint-Fons);Saint Fons;69199;;;;200743
202513364;EAU DU GRAND LYON - LA REGIE ENTRETIEN;Branchements eau potable < à 25 ml;Réparation branchement eau potable  < 25 ml;Ouvert;2025-12-12;2025-12-20;;2025-12-16 15:02:03.807959+01:00;49 Rue de la Feyssine (Villeurbanne);Villeurbanne;69266;09 69 39 69 99;;;200659
202513366;ORANGE SA;Branchements réseau < 25 ml TELECOM, RMT ET VIDEO;Réparation de branchement < 25 ml (télécom ou video);Validé;2025-12-29;2026-02-06;;2025-12-16 15:02:03.152758+01:00;Face au 5 Rue Marie Curie (Corbas);Corbas;69273;;;;200744
